"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2016-06-30,"Westbelt","OH","Columbus","Franklin","Columbus",5243,1227,-0.00405844155844156,-0.0207501995211492,0.00904605263157895,225
2016-06-30,"Pill Hill","IL","Chicago","Cook","Chicago",5244,1398,0.00286944045911047,0.0286975717439294,0.0448430493273543,642
2016-06-30,"Castleberry Hill","GA","Atlanta","Fulton","Atlanta",5245,1318,0.000759301442672741,-0.00976709241172051,0.0353495679497251,816
2016-06-30,"Shipley Hill","MD","Baltimore","Baltimore City","Baltimore",5246,1183,-0.0075503355704698,-0.0174418604651163,0.0269097222222222,1124
2016-06-30,"North Cleveland Park","DC","Washington","District of Columbia","Washington",5247,3997,0.00150338261087447,-0.00547399850709132,0.0468831849135673,767
2016-06-30,"Western Hills","MO","Kansas City","Jackson","Kansas City",5248,1101,0.0147465437788018,0.0406427221172023,0.0825958702064897,954
2016-06-30,"Xyler","OK","Tulsa","Tulsa","Tulsa",5249,726,-0.00137551581843191,0,0.0268741159830269,750
2016-06-30,"Deep River Center","CT","Hartford","Middlesex","Deep River",5250,1543,0.00981675392670157,-0.00129449838187702,0.023209549071618,929
2016-06-30,"Pheasant Run","WI","Milwaukee","Milwaukee","Milwaukee",5251,1282,0,0.00627943485086342,0.0150435471100554,513
2016-06-30,"Conchas Park","NM","Albuquerque","Bernalillo","Albuquerque",5252,1098,-0.000909918107370337,0.0119815668202765,-0.00543478260869565,466
2016-06-30,"Upper Hill","PA","Pittsburgh","Allegheny","Pittsburgh",5253,1123,0.00447227191413238,0.016289592760181,0.13894523326572,959
2016-06-30,"Whispering Hills","TN","Nashville","Davidson","Nashville",5254,1616,0.01,0.0253807106598985,0.106849315068493,661
2016-06-30,"Rotary Park","AZ","Phoenix","Maricopa","Mesa",5255,1017,0.00197044334975369,0.0303951367781155,0.059375,174
2016-06-30,"West Downtown","ID","Boise City","Ada","Boise",5256,764,0,0.00658761528326746,0.157575757575758,424
2016-06-30,"Highland Farms","TX","San Antonio","Bexar","San Antonio",5257,1216,-0.00246103363412633,-0.00490998363338789,0.0133333333333333,669
2016-06-30,"Bowman","KY","Louisville/Jefferson County","Jefferson","Louisville",5258,1675,0.00903614457831325,0.036509900990099,0.0514752040175769,711
2016-06-30,"Heritage Heights Community","WI","Madison","Dane","Madison",5259,1435,0.00209497206703911,-0.0103448275862069,-0.0577806959947472,830
2016-06-30,"Wexmoor","OH","Columbus","Franklin","Columbus",5260,1226,0.00656814449917898,0.0182724252491694,0.0398642917726887,393
2016-06-30,"Prince Tucson","AZ","Tucson","Pima","Tucson",5261,1097,0.00182648401826484,0.021415270018622,0.0398104265402844,1325
